Add to Cart Browsing,Age Group,Browsing Frequency,Cart Abandonment Factors,Cart Completion Frequency,Gender,Improvement Areas,Personalized Recommendation Frequency,Product Search Method,Purchase Categories,Purchase Frequency,Recommendation Helpfulness,Review Helpfulness,Review Left,Review Reliability,Saveforlater Frequency,Search Result Exploration,Service Appreciation,Timestamp,Age,Customer Reviews Importance,Personalized Recommendation Frequency1,Rating Accuracy,Shopping Satisfaction
Yes,26-35,Few times a month,Found a better price elsewhere,Often,Prefer not to say,Product quality and accuracy,No,categories,Clothing and Fashion;Home and Kitchen,Few times a month,Sometimes,Yes,Yes,Heavily,Often,First page,User-friendly website/app interface,2023/06/05 10:07:31 PM GMT+5:30,34,3,1,2,2
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Home and Kitchen,Less than once a month,Sometimes,Yes,No,Heavily,Never,Multiple pages,User-friendly website/app interface,2023/06/05 10:07:33 PM GMT+5:30,24,1,1,3,1
No,36-45,Few times a month,Changed my mind or no longer need the item,Rarely,Male,Customer service responsiveness,No,categories,Clothing and Fashion;others,Few times a month,Yes,Sometimes,No,Never,Sometimes,First page,Product recommendations,2023/06/05 10:08:15 PM GMT+5:30,44,5,2,3,2
No,26-35,Rarely,Changed my mind or no longer need the item,Never,Female,Reducing packaging waste,Sometimes,others,Home and Kitchen;others,Once a month,No,Sometimes,Yes,Never,Often,Multiple pages,User-friendly website/app interface,2023/06/05 10:09:03 PM GMT+5:30,31,4,5,4,2
No,16-25,Few times a week,others,Rarely,Female,Product quality and accuracy,Sometimes,categories,Clothing and Fashion,Once a week,Yes,Sometimes,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/06 8:46:03 AM GMT+5:30,23,5,3,3,3
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Sometimes,Keyword,Beauty and Personal Care;others,Less than once a month,Yes,Yes,No,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/06 9:37:33 AM GMT+5:30,23,1,2,2,1
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,Keyword,Clothing and Fashion;Home and Kitchen,Less than once a month,Sometimes,Yes,No,Heavily,Never,Multiple pages,Competitive prices,2023/06/06 9:39:32 AM GMT+5:30,22,5,5,2,3
Yes,16-25,Few times a week,Found a better price elsewhere,Often,Female,Customer service responsiveness,Sometimes,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a week,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/06 9:45:55 AM GMT+5:30,24,1,1,1,1
Yes,16-25,Multiple times a day,Found a better price elsewhere,Often,Prefer not to say,Customer service responsiveness,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a week,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/06 9:47:31 AM GMT+5:30,23,1,1,1,1
Yes,16-25,Few times a month,others,Rarely,Male,Customer service responsiveness,Yes,Keyword,others,Less than once a month,Sometimes,Yes,No,Moderately,Never,Multiple pages,Wide product selection,2023/06/06 9:59:35 AM GMT+5:30,25,5,3,3,3
No,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Male,Customer service responsiveness,Sometimes,Filter,Clothing and Fashion,Once a week,No,No,Yes,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/06 10:03:52 AM GMT+5:30,23,1,1,2,2
Yes,16-25,Few times a week,others,Often,Male,Product quality and accuracy,Sometimes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a month,Yes,Yes,Yes,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/06 10:07:39 AM GMT+5:30,24,1,2,2,2
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Often,Female,Customer service responsiveness,Yes,Keyword,others,Few times a month,Yes,Yes,No,Moderately,Sometimes,Multiple pages,Wide product selection,2023/06/06 10:17:06 AM GMT+5:30,24,1,2,3,2
Yes,26-35,Few times a month,High shipping costs,Sometimes,Female,Shipping speed and reliability,No,Keyword,others,Less than once a month,Yes,Yes,Yes,Moderately,Often,Multiple pages,Product recommendations,2023/06/06 10:19:05 AM GMT+5:30,26,1,1,2,1
Yes,16-25,Rarely,Changed my mind or no longer need the item,Sometimes,Female,Shipping speed and reliability,Sometimes,categories,Clothing and Fashion,Less than once a month,Sometimes,Yes,Yes,Moderately,Sometimes,First page,Wide product selection,2023/06/06 10:22:47 AM GMT+5:30,25,5,4,4,3
Yes,26-35,Few times a week,Found a better price elsewhere,Sometimes,Male,Reducing packaging waste,No,Keyword,Clothing and Fashion;others,Few times a month,No,Sometimes,No,Occasionally,Never,Multiple pages,Product recommendations,2023/06/06 10:36:14 AM GMT+5:30,26,4,3,3,3
No,26-35,Rarely,Found a better price elsewhere,Sometimes,Male,Product quality and accuracy,No,Keyword,others,Less than once a month,Sometimes,Yes,No,Moderately,Rarely,First page,Wide product selection,2023/06/06 10:46:31 AM GMT+5:30,29,4,3,4,4
Yes,16-25,Few times a month,High shipping costs,Often,Female,Reducing packaging waste,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a month,Yes,Yes,Yes,Moderately,Often,Multiple pages,Competitive prices,2023/06/06 11:20:53 AM GMT+5:30,23,2,2,3,4
Yes,26-35,Few times a week,Found a better price elsewhere,Sometimes,Male,Customer service responsiveness,Yes,Keyword,Clothing and Fashion;Home and Kitchen,Multiple times a week,Yes,Yes,Yes,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/06 11:49:21 AM GMT+5:30,30,3,1,1,2
Yes,16-25,Multiple times a day,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,categories,Beauty and Personal Care;Home and Kitchen,Less than once a month,Sometimes,Yes,No,Heavily,Often,Multiple pages,Wide product selection,2023/06/06 12:00:16 PM GMT+5:30,23,1,3,3,3
Yes,16-25,Rarely,High shipping costs,Never,Female,Reducing packaging waste,No,Keyword,Clothing and Fashion,Less than once a month,Sometimes,Yes,No,Heavily,Never,Multiple pages,Wide product selection,2023/06/06 12:52:14 PM GMT+5:30,21,1,4,3,3
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,No,categories,Beauty and Personal Care;Home and Kitchen,Once a month,Yes,No,Yes,Moderately,Often,Multiple pages,Product recommendations,2023/06/06 1:06:16 PM GMT+5:30,23,1,3,2,2
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Always,Female,Customer service responsiveness,Sometimes,,Clothing and Fashion,Once a month,Sometimes,Sometimes,No,Moderately,Often,Multiple pages,User-friendly website/app interface,2023/06/06 2:07:12 PM GMT+5:30,21,3,3,3,3
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Often,Female,Shipping speed and reliability,No,Keyword,Clothing and Fashion;others,Less than once a month,Sometimes,Yes,No,Moderately,Rarely,Multiple pages,Wide product selection,2023/06/06 3:02:38 PM GMT+5:30,23,2,2,2,1
Yes,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Male,Product quality and accuracy,Sometimes,Keyword,others,Once a month,Sometimes,Yes,Yes,Moderately,Often,Multiple pages,Wide product selection,2023/06/06 4:25:49 PM GMT+5:30,27,3,3,3,1
Yes,36-45,Few times a month,Changed my mind or no longer need the item,Often,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Home and Kitchen,Once a month,Sometimes,Sometimes,Yes,Moderately,Never,Multiple pages,Wide product selection,2023/06/06 4:46:25 PM GMT+5:30,38,2,4,4,2
Yes,16-25,Rarely,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,No,Yes,No,Heavily,Never,First page,User-friendly website/app interface,2023/06/06 5:16:58 PM GMT+5:30,23,1,3,2,2
No,36-45,Few times a month,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,No,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Less than once a month,No,No,No,Moderately,Rarely,First page,Product recommendations,2023/06/06 6:32:00 PM GMT+5:30,38,3,4,4,2
No,16-25,Few times a week,Found a better price elsewhere,Rarely,Male,Reducing packaging waste,No,categories,others,Few times a month,Yes,Sometimes,Yes,Heavily,Sometimes,Multiple pages,Competitive prices,2023/06/06 6:32:36 PM GMT+5:30,23,3,2,3,3
No,16-25,Few times a week,Found a better price elsewhere,Often,Male,Customer service responsiveness,No,categories,Clothing and Fashion;others,Once a week,No,No,Yes,Occasionally,Often,First page,Product recommendations,2023/06/06 6:33:23 PM GMT+5:30,24,2,3,3,2
No,16-25,Few times a week,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Filter,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a week,Yes,No,Yes,Heavily,Sometimes,First page,Product recommendations,2023/06/06 6:34:44 PM GMT+5:30,25,2,2,3,2
Yes,26-35,Few times a week,Found a better price elsewhere,Often,Male,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Less than once a month,Yes,Yes,No,Heavily,Sometimes,Multiple pages,Wide product selection,2023/06/06 6:35:14 PM GMT+5:30,26,1,1,2,1
No,26-35,Few times a month,Found a better price elsewhere,Sometimes,Male,Product quality and accuracy,No,Filter,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a week,No,No,Yes,Occasionally,Sometimes,First page,Competitive prices,2023/06/06 6:35:33 PM GMT+5:30,27,3,3,3,2
No,26-35,Few times a week,Found a better price elsewhere,Sometimes,Prefer not to say,Customer service responsiveness,Yes,categories,Beauty and Personal Care,Once a week,No,No,Yes,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/06 6:36:16 PM GMT+5:30,29,1,3,2,1
No,26-35,Few times a month,Found a better price elsewhere,Sometimes,Prefer not to say,Reducing packaging waste,No,Filter,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,No,No,No,Never,Sometimes,Multiple pages,Competitive prices,2023/06/06 6:37:19 PM GMT+5:30,35,3,4,3,2
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion,Once a month,Sometimes,Yes,No,Heavily,Sometimes,Multiple pages,Competitive prices,2023/06/06 6:37:26 PM GMT+5:30,21,1,1,3,1
Maybe,36-45,Few times a month,Changed my mind or no longer need the item,Sometimes,Male,Customer service responsiveness,No,categories,Beauty and Personal Care;Home and Kitchen,Few times a month,Yes,No,Yes,Occasionally,Often,First page,Product recommendations,2023/06/06 6:38:03 PM GMT+5:30,36,4,2,2,3
No,36-45,Multiple times a day,High shipping costs,Often,Female,Customer service responsiveness,No,Filter,Beauty and Personal Care,Few times a month,No,No,No,Occasionally,Sometimes,First page,Competitive prices,2023/06/06 6:38:45 PM GMT+5:30,44,2,2,2,2
Yes,26-35,Multiple times a day,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a week,Yes,Yes,Yes,Heavily,Always,Multiple pages,User-friendly website/app interface,2023/06/06 6:38:49 PM GMT+5:30,32,1,1,1,1
Yes,26-35,Few times a month,High shipping costs,Always,Male,Product quality and accuracy,No,Filter,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Few times a month,No,Yes,Yes,Moderately,Often,Multiple pages,Competitive prices,2023/06/06 6:39:26 PM GMT+5:30,30,3,4,3,2
Maybe,36-45,Rarely,others,Never,Others,Shipping speed and reliability,Sometimes,others,others,Less than once a month,Sometimes,Sometimes,No,Never,Never,First page,User-friendly website/app interface,2023/06/06 6:40:27 PM GMT+5:30,36,5,5,5,5
Yes,16-25,Rarely,Changed my mind or no longer need the item,Sometimes,Male,Customer service responsiveness,No,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Less than once a month,Yes,Yes,No,Heavily,Always,Multiple pages,Wide product selection,2023/06/06 6:40:30 PM GMT+5:30,25,1,1,1,1
Yes,16-25,Multiple times a day,High shipping costs,Always,Female,Product quality and accuracy,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a week,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/06 6:41:11 PM GMT+5:30,20,1,4,1,1
No,26-35,Few times a month,Changed my mind or no longer need the item,Rarely,Female,Product quality and accuracy,No,categories,Beauty and Personal Care,Once a week,Sometimes,No,No,Occasionally,Sometimes,First page,Product recommendations,2023/06/06 6:42:00 PM GMT+5:30,35,3,2,4,3
Yes,36-45,Few times a month,Found a better price elsewhere,Often,Male,Product quality and accuracy,Yes,Keyword,Groceries and Gourmet Food;Home and Kitchen;others,Less than once a month,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/06 6:42:07 PM GMT+5:30,42,1,1,1,1
No,36-45,Few times a month,Found a better price elsewhere,Often,Female,Reducing packaging waste,No,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,No,No,No,Moderately,Often,Multiple pages,Product recommendations,2023/06/06 6:43:02 PM GMT+5:30,37,2,2,1,1
Yes,26-35,Multiple times a day,Changed my mind or no longer need the item,Often,Female,Customer service responsiveness,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion;others,Multiple times a week,Sometimes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/06 6:43:32 PM GMT+5:30,28,1,3,2,1
No,26-35,Few times a week,Changed my mind or no longer need the item,Often,Male,Customer service responsiveness,No,categories,Beauty and Personal Care;Home and Kitchen,Once a week,No,Sometimes,No,Heavily,Often,First page,Competitive prices,2023/06/06 6:44:04 PM GMT+5:30,27,2,3,2,2
No,36-45,Multiple times a day,Changed my mind or no longer need the item,Often,Female,Product quality and accuracy,No,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a week,No,No,No,Moderately,Often,Multiple pages,Competitive prices,2023/06/06 6:44:50 PM GMT+5:30,45,2,2,2,2
Yes,26-35,Rarely,High shipping costs,Rarely,Male,Shipping speed and reliability,Yes,Keyword,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Less than once a month,Yes,Yes,Yes,Heavily,Always,First page,Competitive prices,2023/06/06 6:45:07 PM GMT+5:30,35,1,1,1,1
Yes,46-55,Few times a week,Changed my mind or no longer need the item,Often,Female,Reducing packaging waste,No,Filter,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a week,No,No,Yes,Moderately,Rarely,First page,Competitive prices,2023/06/06 6:45:33 PM GMT+5:30,50,3,2,3,2
No,46-55,Few times a week,Changed my mind or no longer need the item,Rarely,Female,Reducing packaging waste,No,Keyword,Beauty and Personal Care;others,Few times a month,No,Yes,No,Moderately,Sometimes,First page,Competitive prices,2023/06/06 6:46:14 PM GMT+5:30,54,3,2,3,2
Yes,26-35,Multiple times a day,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a week,Sometimes,Yes,Yes,Heavily,Always,Multiple pages,Competitive prices,2023/06/06 6:46:21 PM GMT+5:30,29,1,1,1,1
Yes,56-65,Rarely,Found a better price elsewhere,Sometimes,Male,Customer service responsiveness,No,Keyword,Groceries and Gourmet Food;Home and Kitchen;others,Less than once a month,Sometimes,Yes,No,Heavily,Sometimes,Multiple pages,Competitive prices,2023/06/06 6:48:26 PM GMT+5:30,63,1,2,3,2
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Male,Product quality and accuracy,Sometimes,Keyword,Beauty and Personal Care;Clothing and Fashion,Few times a month,Sometimes,Sometimes,No,Heavily,Sometimes,Multiple pages,Competitive prices,2023/06/06 6:51:13 PM GMT+5:30,24,1,2,2,1
Yes,16-25,Rarely,High shipping costs,Rarely,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care,Less than once a month,Yes,Yes,Yes,Heavily,Often,Multiple pages,Wide product selection,2023/06/06 6:57:14 PM GMT+5:30,23,1,1,1,1
Yes,26-35,Few times a week,High shipping costs,Always,Female,Product quality and accuracy,Yes,categories,Beauty and Personal Care;Clothing and Fashion,Few times a month,Yes,Yes,Yes,Occasionally,Always,Multiple pages,Wide product selection,2023/06/06 7:02:21 PM GMT+5:30,26,1,5,1,1
Yes,26-35,Multiple times a day,Found a better price elsewhere,Sometimes,Male,Shipping speed and reliability,No,Filter,Beauty and Personal Care;Clothing and Fashion,Multiple times a week,Yes,Yes,No,Rarely,Always,Multiple pages,Competitive prices,2023/06/06 7:08:47 PM GMT+5:30,29,5,3,1,1
No,46-55,Few times a month,Found a better price elsewhere,Sometimes,Prefer not to say,Reducing packaging waste,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Few times a month,Yes,No,No,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/06 7:10:14 PM GMT+5:30,46,2,2,3,2
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Male,Nil,No,Keyword,others,Less than once a month,Yes,Yes,No,Occasionally,Sometimes,Multiple pages,Wide product selection,2023/06/06 7:10:55 PM GMT+5:30,24,4,3,4,5
No,26-35,Few times a week,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,No,Filter,Groceries and Gourmet Food;Beauty and Personal Care,Few times a month,No,No,No,Occasionally,Often,Multiple pages,Competitive prices,2023/06/06 7:11:13 PM GMT+5:30,33,2,2,2,2
Maybe,26-35,Few times a week,Changed my mind or no longer need the item,Never,Female,Shipping speed and reliability,No,Filter,Beauty and Personal Care;others,Once a week,Yes,No,No,Occasionally,Rarely,First page,Product recommendations,2023/06/06 7:11:46 PM GMT+5:30,33,5,2,1,1
No,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Shipping speed and reliability,No,categories,Clothing and Fashion,Once a month,No,No,No,Heavily,Sometimes,First page,Wide product selection,2023/06/06 7:12:54 PM GMT+5:30,31,3,3,5,4
No,36-45,Multiple times a day,High shipping costs,Always,Prefer not to say,Reducing packaging waste,Sometimes,Filter,Clothing and Fashion;Home and Kitchen,Few times a month,Yes,No,No,Occasionally,Often,First page,Product recommendations,2023/06/06 7:15:48 PM GMT+5:30,40,2,1,1,2
No,36-45,Few times a month,Found a better price elsewhere,Sometimes,Male,Customer service responsiveness,No,categories,Beauty and Personal Care;Clothing and Fashion,Once a week,No,No,No,Occasionally,Always,First page,Product recommendations,2023/06/06 7:16:28 PM GMT+5:30,37,3,2,3,4
No,16-25,Rarely,Changed my mind or no longer need the item,Rarely,Prefer not to say,Product quality and accuracy,No,categories,Beauty and Personal Care,Few times a month,No,No,No,Heavily,Often,First page,User-friendly website/app interface,2023/06/06 7:17:17 PM GMT+5:30,25,3,2,3,2
No,56-65,Multiple times a day,Changed my mind or no longer need the item,Sometimes,Female,Customer service responsiveness,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion,Once a week,No,No,No,Occasionally,Sometimes,First page,Product recommendations,2023/06/06 7:18:01 PM GMT+5:30,60,2,2,2,3
Maybe,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,No,categories,Groceries and Gourmet Food;Beauty and Personal Care,Once a week,No,No,No,Rarely,Often,First page,Competitive prices,2023/06/06 7:18:52 PM GMT+5:30,18,3,4,4,4
No,46-55,Few times a week,others,Never,Male,Shipping speed and reliability,No,categories,Clothing and Fashion;Home and Kitchen;others,Less than once a month,No,No,No,Occasionally,Rarely,Multiple pages,Product recommendations,2023/06/06 7:19:43 PM GMT+5:30,50,3,4,4,4
No,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Product quality and accuracy,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,No,Sometimes,No,Occasionally,Rarely,First page,Wide product selection,2023/06/06 7:20:35 PM GMT+5:30,24,1,3,2,3
No,16-25,Few times a month,Found a better price elsewhere,Often,Female,Customer service responsiveness,No,categories,Beauty and Personal Care;Clothing and Fashion,Few times a month,No,No,No,Occasionally,Sometimes,First page,Wide product selection,2023/06/06 7:21:26 PM GMT+5:30,19,3,2,3,2
Maybe,16-25,Rarely,High shipping costs,Rarely,Female,Product quality and accuracy,No,others,Beauty and Personal Care;Clothing and Fashion;others,Once a month,No,No,Yes,Moderately,Always,First page,Wide product selection,2023/06/06 7:22:31 PM GMT+5:30,18,4,1,2,1
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Never,Male,Customer service responsiveness,No,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Few times a month,No,No,Yes,Moderately,Always,Multiple pages,Wide product selection,2023/06/06 7:23:25 PM GMT+5:30,17,3,2,2,2
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Often,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care,Once a month,Sometimes,Yes,Yes,Heavily,Sometimes,Multiple pages,Wide product selection,2023/06/06 7:31:34 PM GMT+5:30,27,1,3,3,2
No,16-25,Rarely,Changed my mind or no longer need the item,Often,Male,Product quality and accuracy,No,Filter,Beauty and Personal Care;Home and Kitchen;others,Less than once a month,No,Yes,No,Heavily,Never,Multiple pages,Wide product selection,2023/06/06 7:39:44 PM GMT+5:30,23,1,5,5,2
Maybe,26-35,Few times a month,Found a better price elsewhere,Rarely,Female,Reducing packaging waste,No,categories,Beauty and Personal Care,Few times a month,No,No,Yes,Occasionally,Often,First page,Product recommendations,2023/06/06 7:40:11 PM GMT+5:30,35,3,2,4,2
No,56-65,Few times a week,Changed my mind or no longer need the item,Always,Female,Reducing packaging waste,No,Filter,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Sometimes,Yes,No,Occasionally,Rarely,Multiple pages,Product recommendations,2023/06/06 7:40:53 PM GMT+5:30,57,2,3,3,1
No,46-55,Few times a week,Found a better price elsewhere,Rarely,Male,Product quality and accuracy,No,Filter,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Few times a month,No,No,Yes,Moderately,Sometimes,First page,Competitive prices,2023/06/06 7:41:36 PM GMT+5:30,54,3,3,2,2
No,26-35,Few times a month,High shipping costs,Sometimes,Prefer not to say,Shipping speed and reliability,No,categories,Beauty and Personal Care,Once a month,No,No,No,Heavily,Often,Multiple pages,Wide product selection,2023/06/06 7:42:13 PM GMT+5:30,26,2,2,2,2
Yes,46-55,Rarely,Found a better price elsewhere,Often,Male,Customer service responsiveness,Sometimes,Keyword,Beauty and Personal Care,Once a week,No,No,Yes,Heavily,Often,Multiple pages,Competitive prices,2023/06/06 7:42:51 PM GMT+5:30,46,2,2,2,2
Maybe,26-35,Few times a week,others,Often,Female,Add more familiar brands to the list,Sometimes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a week,Sometimes,Yes,Yes,Moderately,Often,Multiple pages,Competitive prices,2023/06/06 7:46:27 PM GMT+5:30,26,1,3,3,2
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Often,Male,Shipping speed and reliability,No,Filter,others,Once a month,Yes,Yes,Yes,Heavily,Often,Multiple pages,User-friendly website/app interface,2023/06/06 7:54:19 PM GMT+5:30,24,1,1,3,2
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Often,Female,Shipping speed and reliability,No,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Once a month,Yes,Yes,Yes,Heavily,Never,Multiple pages,User-friendly website/app interface,2023/06/06 8:01:47 PM GMT+5:30,26,1,2,1,1
Maybe,26-35,Few times a month,High shipping costs,Often,Male,Shipping speed and reliability,No,categories,Clothing and Fashion,Once a month,Yes,Yes,Yes,Heavily,Never,Multiple pages,Wide product selection,2023/06/06 8:08:19 PM GMT+5:30,27,5,3,1,2
Maybe,16-25,Multiple times a day,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Filter,Beauty and Personal Care,Few times a month,Sometimes,Sometimes,Yes,Moderately,Always,Multiple pages,Competitive prices,2023/06/06 8:55:08 PM GMT+5:30,22,3,1,3,3
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Male,Customer service responsiveness,Yes,categories,Beauty and Personal Care,Few times a month,Yes,Yes,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/06 8:56:17 PM GMT+5:30,24,3,3,3,3
Maybe,16-25,Few times a week,Found a better price elsewhere,Often,Male,Reducing packaging waste,No,Filter,Beauty and Personal Care,Multiple times a week,No,Sometimes,No,Occasionally,Often,Multiple pages,Competitive prices,2023/06/06 8:57:23 PM GMT+5:30,25,3,2,3,3
Maybe,16-25,Few times a week,Found a better price elsewhere,Often,Prefer not to say,Customer service responsiveness,Yes,others,Beauty and Personal Care,Once a month,Sometimes,No,Yes,Heavily,Sometimes,First page,Product recommendations,2023/06/06 9:08:20 PM GMT+5:30,22,2,3,3,3
Yes,26-35,Few times a month,High shipping costs,Often,Male,Shipping speed and reliability,No,Keyword,others,Once a month,Yes,Yes,Yes,Heavily,Never,Multiple pages,User-friendly website/app interface,2023/06/06 9:08:39 PM GMT+5:30,27,1,3,1,1
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,No,Keyword,Clothing and Fashion;Home and Kitchen,Less than once a month,Yes,Yes,No,Moderately,Sometimes,First page,Competitive prices,2023/06/06 11:06:30 PM GMT+5:30,23,1,2,2,2
Maybe,16-25,Few times a month,High shipping costs,Sometimes,Male,Product quality and accuracy,No,categories,Clothing and Fashion,Less than once a month,Yes,Yes,No,Heavily,Never,First page,User-friendly website/app interface,2023/06/06 11:28:31 PM GMT+5:30,24,1,3,3,3
Yes,16-25,Rarely,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,No,categories,Beauty and Personal Care,Less than once a month,No,Yes,No,Moderately,Never,First page,Competitive prices,2023/06/07 12:58:28 AM GMT+5:30,24,4,3,3,3
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,No,Filter,Clothing and Fashion,Few times a month,Yes,Sometimes,No,Heavily,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 3:08:03 AM GMT+5:30,23,1,4,3,4
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Male,UI,No,Keyword,Clothing and Fashion;others,Once a month,No,Yes,Yes,Heavily,Often,Multiple pages,Competitive prices,2023/06/07 6:09:58 AM GMT+5:30,23,1,3,3,3
Yes,16-25,Multiple times a day,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Yes,Filter,Groceries and Gourmet Food,Once a week,Yes,Yes,No,Moderately,Often,Multiple pages,Product recommendations,2023/06/07 9:19:23 AM GMT+5:30,25,3,3,3,3
Maybe,16-25,Few times a week,High shipping costs,Sometimes,Male,Customer service responsiveness,No,categories,Groceries and Gourmet Food,Once a week,No,No,Yes,Occasionally,Rarely,First page,User-friendly website/app interface,2023/06/07 9:20:34 AM GMT+5:30,21,5,3,3,3
No,36-45,Few times a month,Found a better price elsewhere,Often,Female,Customer service responsiveness,No,Keyword,Groceries and Gourmet Food,Few times a month,Sometimes,No,Yes,Occasionally,Sometimes,Multiple pages,Wide product selection,2023/06/07 9:24:31 AM GMT+5:30,36,2,3,3,4
